freq_per_A,resolution_A,H6_vs_H7,H6_vs_H8,H6_vs_W6,H6_vs_W7,H6_vs_W8,H7_vs_H8,H7_vs_W6,H7_vs_W7,H7_vs_W8,H8_vs_W6,H8_vs_W7,H8_vs_W8,W6_vs_W7,W6_vs_W8,W7_vs_W8
0.25602,3.91,0.0255,0.0073,0.0050,-0.0006,-0.0036,0.0041,-0.0072,-0.0009,0.0065,0.0001,0.0088,0.0105,0.0059,-0.0064,0.0077
0.25979,3.85,0.0144,-0.0166,0.0075,0.0003,-0.0059,-0.0033,-0.0073,-0.0012,-0.0028,0.0010,-0.0019,-0.0092,-0.0009,-0.0087,-0.0040
0.26355,3.79,0.0086,0.0010,0.0096,0.0068,-0.0126,0.0017,0.0019,0.0018,0.0031,0.0073,-0.0061,-0.0022,-0.0081,-0.0074,0.0033
0.26732,3.74,0.0041,-0.0005,-0.0003,-0.0026,-0.0023,0.0021,-0.0020,-0.0013,0.0065,-0.0070,0.0077,-0.0023,0.0058,0.0067,-0.0001
0.27108,3.69,0.0047,0.0052,-0.0017,-0.0039,-0.0025,-0.0015,0.0018,-0.0015,0.0015,0.0053,0.0033,-0.0103,0.0018,-0.0073,0.0002
0.27485,3.64,0.0016,0.0071,0.0116,0.0094,0.0022,0.0055,-0.0005,0.0011,0.0019,0.0010,-0.0100,-0.0067,-0.0020,-0.0025,-0.0029
0.27861,3.59,-0.0066,-0.0100,-0.0014,0.0004,0.0008,0.0027,0.0020,-0.0020,0.0125,0.0029,-0.0075,0.0072,0.0001,-0.0034,-0.0060
0.28238,3.54,-0.0041,0.0015,0.0016,-0.0026,-0.0052,-0.0090,0.0054,-0.0085,-0.0023,0.0079,-0.0005,-0.0048,-0.0040,0.0037,-0.0053
0.28614,3.49,-0.0039,-0.0020,0.0030,0.0065,-0.0078,0.0067,-0.0013,-0.0081,0.0020,-0.0019,0.0013,0.0041,-0.0006,-0.0046,-0.0015
0.28991,3.45,-0.0111,-0.0011,0.0036,0.0026,-0.0074,0.0077,0.0113,-0.0068,0.0038,-0.0041,0.0026,0.0052,-0.0048,0.0025,0.0008
0.29367,3.41,-0.0027,-0.0004,0.0028,-0.0024,-0.0007,-0.0013,-0.0021,-0.0047,0.0019,-0.0013,-0.0010,0.0023,-0.0005,-0.0005,-0.0034
0.29744,3.36,-0.0070,-0.0031,0.0023,0.0034,0.0042,0.0037,0.0010,-0.0029,0.0049,0.0041,0.0017,0.0042,-0.0006,0.0102,0.0015
0.30120,3.32,0.0078,-0.0037,-0.0035,-0.0114,-0.0025,0.0020,-0.0008,0.0050,0.0007,0.0048,-0.0037,-0.0082,-0.0029,0.0191,0.0018
0.30497,3.28,0.0011,0.0053,-0.0010,0.0007,-0.0013,-0.0086,-0.0054,0.0031,-0.0036,-0.0041,-0.0045,0.0052,0.0041,0.0141,0.0031
0.30873,3.24,0.0014,0.0002,-0.0017,-0.0017,-0.0012,-0.0033,-0.0006,0.0061,-0.0009,0.0056,0.0037,-0.0024,0.0054,0.0181,0.0053
0.31250,3.20,-0.0022,0.0036,0.0015,-0.0056,-0.0092,-0.0041,0.0009,0.0069,-0.0057,0.0026,0.0044,0.0012,0.0018,0.0069,0.0040
0.31627,3.16,0.0022,-0.0087,0.0034,0.0057,-0.0015,-0.0053,0.0021,0.0122,-0.0026,0.0064,0.0067,0.0156,-0.0028,0.0083,0.0105
0.32003,3.12,0.0013,0.0068,0.0045,-0.0027,0.0073,-0.0014,0.0056,0.0114,-0.0037,0.0075,0.0015,0.0117,-0.0027,-0.0008,0.0054
0.32380,3.09,-0.0031,0.0011,0.0004,-0.0007,0.0021,0.0021,0.0008,0.0093,0.0027,0.0078,0.0037,0.0142,-0.0043,-0.0010,0.0059
0.32756,3.05,0.0072,-0.0001,-0.0022,0.0037,0.0064,0.0044,0.0024,0.0027,0.0063,0.0033,-0.0001,0.0104,-0.0020,-0.0032,0.0032
0.33133,3.02,-0.0061,-0.0021,0.0028,0.0067,-0.0054,0.0042,0.0036,0.0030,0.0034,0.0076,0.0012,0.0116,0.0015,-0.0022,-0.0007
0.33509,2.98,-0.0020,-0.0026,0.0029,0.0019,-0.0047,0.0072,0.0005,0.0008,0.0047,0.0022,0.0018,0.0068,0.0034,0.0020,-0.0000
0.33886,2.95,-0.0043,-0.0039,-0.0037,-0.0013,-0.0063,0.0028,-0.0034,0.0072,0.0058,0.0050,0.0046,0.0052,0.0030,0.0035,-0.0028
0.34262,2.92,-0.0016,-0.0048,-0.0059,0.0046,-0.0054,-0.0003,0.0009,0.0046,0.0033,-0.0004,0.0058,0.0051,0.0052,0.0073,-0.0014
0.34639,2.89,-0.0031,0.0001,-0.0072,0.0030,-0.0062,0.0003,-0.0048,0.0085,0.0057,-0.0010,0.0050,0.0049,0.0063,0.0106,0.0082
0.35015,2.86,-0.0056,0.0027,-0.0037,0.0010,-0.0025,-0.0037,-0.0038,0.0090,0.0080,0.0012,0.0080,0.0032,0.0068,0.0157,0.0066
0.35392,2.83,-0.0011,0.0051,-0.0071,-0.0045,-0.0056,0.0010,0.0009,0.0161,0.0017,-0.0028,0.0050,0.0070,0.0074,0.0154,0.0167
0.35768,2.80,-0.0004,0.0022,-0.0039,-0.0018,-0.0071,0.0018,0.0014,0.0163,-0.0017,0.0027,0.0044,0.0084,0.0107,0.0138,0.0203
0.36145,2.77,0.0029,0.0048,-0.0010,0.0006,-0.0077,-0.0034,0.0017,0.0214,-0.0013,-0.0009,0.0043,0.0132,0.0077,0.0093,0.0172
0.36521,2.74,0.0030,0.0028,0.0016,0.0004,-0.0053,-0.0010,0.0061,0.0210,-0.0036,0.0050,0.0011,0.0085,0.0032,0.0085,0.0139
0.36898,2.71,0.0036,0.0074,-0.0006,0.0004,-0.0035,0.0019,0.0098,0.0196,-0.0023,0.0073,0.0019,0.0120,0.0064,0.0027,0.0095
0.37274,2.68,-0.0018,0.0028,-0.0005,-0.0005,0.0007,-0.0012,0.0060,0.0221,-0.0019,0.0076,0.0004,0.0126,0.0042,0.0049,0.0109
0.37651,2.66,-0.0010,0.0024,0.0000,-0.0010,0.0033,0.0036,0.0072,0.0177,0.0025,0.0066,0.0035,0.0164,0.0024,0.0011,0.0093
0.38027,2.63,-0.0009,-0.0022,0.0018,-0.0011,0.0010,0.0053,0.0030,0.0169,0.0032,0.0043,0.0072,0.0077,0.0070,0.0046,0.0052
0.38404,2.60,-0.0019,-0.0046,-0.0045,-0.0054,-0.0011,0.0022,0.0070,0.0142,0.0084,0.0032,0.0071,0.0055,0.0059,0.0074,0.0049
0.38780,2.58,0.0039,-0.0014,-0.0070,-0.0024,-0.0018,0.0064,-0.0018,0.0121,0.0039,0.0017,0.0093,0.0039,0.0122,0.0104,0.0060
0.39157,2.55,-0.0022,0.0004,-0.0083,0.0009,-0.0001,0.0058,-0.0023,0.0161,0.0104,0.0062,0.0077,0.0036,0.0122,0.0129,0.0114
0.39533,2.53,-0.0006,0.0049,-0.0119,0.0047,0.0006,0.0060,-0.0002,0.0189,0.0114,0.0017,0.0108,0.0058,0.0174,0.0117,0.0122
0.39910,2.51,-0.0014,0.0077,-0.0109,0.0071,0.0005,0.0075,0.0057,0.0232,0.0130,-0.0019,0.0100,0.0099,0.0206,0.0194,0.0204
