freq_per_A,resolution_A,J1442_P6_vs_J1442_P7,J1442_P6_vs_J1442_P8,J1442_P7_vs_J1442_P8
0.36521,2.74,0.0159,0.0102,0.0193
0.36898,2.71,0.0215,0.0144,0.0192
0.37274,2.68,0.0230,0.0158,0.0238
0.37651,2.66,0.0281,0.0151,0.0228
0.38027,2.63,0.0295,0.0123,0.0242
0.38404,2.60,0.0286,0.0076,0.0184
0.38780,2.58,0.0306,0.0132,0.0241
0.39157,2.55,0.0330,0.0135,0.0265
0.39533,2.53,0.0346,0.0176,0.0273
0.39910,2.51,0.0403,0.0137,0.0336
0.40286,2.48,0.0395,0.0155,0.0320
0.40663,2.46,0.0445,0.0188,0.0349
0.41039,2.44,0.0433,0.0168,0.0319
0.41416,2.41,0.0471,0.0220,0.0344
0.41792,2.39,0.0549,0.0206,0.0403
0.42169,2.37,0.0564,0.0265,0.0455
0.42545,2.35,0.0564,0.0273,0.0495
0.42922,2.33,0.0557,0.0243,0.0453
0.43298,2.31,0.0610,0.0267,0.0392
0.43675,2.29,0.0676,0.0224,0.0405
0.44051,2.27,0.0677,0.0255,0.0445
0.44428,2.25,0.0671,0.0296,0.0533
0.44804,2.23,0.0681,0.0301,0.0578
