uid,ensemble_class,gmm_class,gmm_max_resp
17762412936242225239,P6,P6,0.999942754562385
11011414588858406495,P6,P6,0.9998227818051156
9353094609173345915,P6,P6,0.9993249248030689
6391368837022742527,P6,P6,0.9999184667883468
2324869167593038287,P6,P6,0.9875777872424927
1235145379410878075,P6,P6,0.9954360498540261
3450549947329755603,P6,P6,0.9999111059593105
18098042616008470808,P6,P6,0.9933844116826146
6692877811473926033,P6,P6,0.751334220905608
428888446839972759,P6,P6,0.9999046370214163
18307014413789834909,P6,P6,0.977117072476123
3896481632253652519,P6,P6,0.9997877537476256
10297347422962186215,P6,P6,0.950426742254032
11818280471401925359,P6,P6,0.9976869698494578
12703714850098476681,P6,P6,0.9999793910393806
6672245529288560162,P6,P6,0.998780227193095
11518781061362292561,P6,P6,0.9956481471946084
10496416678464932870,P6,P6,0.9999212228484432
336465483627589939,P6,P6,0.9966170918874907
2060223508881997284,P6,P6,0.9733652797998116
4308712735525416528,P6,P6,0.9896117706364915
12626880812514829107,P6,P6,0.995185273719789
18076508783226281361,P6,P6,0.9999918363892264
7407642389025200288,P6,P6,0.9999710811852377
11909127358849124663,P6,P6,0.9320629369271175
11265920037532051500,P6,P6,0.9991171485105477
10669522504510008158,P6,P6,0.9777578804735922
8002130540431449578,P6,P6,0.9999797894804199
8836801775761451053,P6,P6,0.8978963127871337
864456254129652443,P6,P6,0.9991670253560412
18336359501379157848,P6,P6,0.9948578187616798
7116669244507295957,P6,P6,0.9771230984832261
7810642755720058677,P6,P6,0.9999899719312978
5609394893914532052,P6,P6,0.9842709734361311
16212271680909297771,P6,P6,0.9950476718222813
14651332170840578482,P6,P6,0.9978110979958884
18051239933471053638,P6,P6,0.9133848589509165
2496422965502634280,P6,P6,0.9978341093945086
5317641043395091541,P6,P6,0.9999684922669386
3595303602284930314,P6,P6,0.9949054944791385
8007411454829171942,P6,P6,0.9124718309817829
6714832956523823626,P6,P6,0.986650054187242
3161083816462175650,P6,P6,0.9992644793096566
13348645871450828876,P6,P6,0.9999994162943318
7103544201597210060,P6,P6,0.9991533274099409
10649672108725799272,P6,P6,0.9994329480821745
7165473474421176218,P6,P6,0.9975518017580919
16681438740605119666,P6,P6,0.9497797994055694
11365776629564755274,P6,P6,0.9487723838338996
4789428908605233258,P6,P6,0.9998917365302524
4902851564031320756,P6,P6,0.9999872624031654
7420102891507360167,P6,P6,0.9987272180493929
4641429120352347485,P6,P6,0.995542445768758
9661986430042603622,P6,P6,0.9967630629806271
5003725964011252173,P6,P6,0.7980515956627197
11639543522657841615,P6,P6,0.9990269148200795
8220777278558067592,P6,P6,0.999012091848288
14391880550967713488,P6,P6,0.9999904747728918
15631334578056798245,P6,P6,0.9847935562181689
8677624450944076301,P6,P6,0.9998208121434123
1379769046425391260,P6,P6,0.9989358433595248
4794124191543657271,P6,P6,0.9911356305876408
12215874919837243992,P6,P6,0.9943114019524664
7628177324981281855,P6,P6,0.9999359108284973
584024130826503817,P6,P6,0.9489264629136042
13554753729323675450,P6,P6,0.9978496851282104
1871251963290826119,P6,P6,0.9935885040071158
4509107264440280671,P6,P6,0.9996423970558174
16786777658821381980,P6,P6,0.975203083506181
132262301106886504,P6,P6,0.9999298060246729
10495674064688853895,P6,P6,0.9990005779309838
10718495979641948981,P6,P6,0.9985500020781459
3136951168350072731,P6,P6,0.9999493723797606
14769263325505431925,P6,P6,0.9849725572166131
9857015661965230236,P6,P6,0.9998624773206616
11144350837139146095,P6,P6,0.9182695031303097
16273637802686770530,P6,P6,0.8804873237583535
8721940638850592326,P6,P6,0.9996192832860692
7388393324001921614,P6,P6,0.9950720231562139
9700725669289591530,P6,P6,0.9990839539756364
727311637158233840,P6,P6,0.9945235573951338
1394850659101322986,P6,P6,0.9837772124866835
569774336373589472,P6,P6,0.9983038139459257
8865796567716625165,P6,P6,0.8483496632851272
721047918757711951,P6,P6,0.9994871165853664
8547910703117811892,P6,P6,0.8165834781975986
10627411833959068427,P6,P6,0.636449487158814
14184030826321056419,P6,P6,0.9850838527358589
17756836286456465903,P6,P6,0.9999649873971761
6222896996030672601,P6,P6,0.9977357171043334
6146613828820439636,P6,P6,0.9995653597861637
16227035683026325415,P6,P6,0.9721883371625862
17522710018001286826,P6,P6,0.9870436123753392
12155742644226233824,P6,P6,0.9999526889069711
346683744055618195,P6,P6,0.9937821655372253
11938341585745787755,P6,P6,0.924189121075297
16147400298941009476,P6,P6,0.9999179106212277
14522553226397020728,P6,P6,0.9995272311451229
1882404775537972117,P6,P6,0.9774307998645907
374606150550623459,P6,P6,0.9861687819493987
5670583227383459742,P6,P6,0.9964607623243403
14857090964423476319,P6,P6,0.9928476881093439
