uid,basin,cryosparc_hard_class
16227035683026325415,1,P6
17522710018001286826,1,P6
12155742644226233824,1,P6
346683744055618195,1,P10
11938341585745787755,1,P7
16147400298941009476,1,P6
14522553226397020728,1,P6
1882404775537972117,1,P6
374606150550623459,1,P6
5670583227383459742,1,P10
14857090964423476319,1,P10
15461470178374882803,1,P10
10345571174552547362,1,P10
15053610068017820712,1,P6
9344996033860909383,1,P10
1249455006880372741,1,P6
6829109868220711827,1,P6
7863614204246531462,1,P6
8160413276140320408,1,P6
12435309025019240070,1,P6
12365706945942648175,1,P9
3788566395216927070,1,P6
11746559053841080704,1,P10
18266995639331110353,1,P6
5604030920591423198,1,P6
616348501795584482,1,P6
16514160616340819139,1,P10
2362136426356259545,1,P6
11957610827770161886,1,P6
4706168050470104347,1,P6
3369890373609862156,1,P6
13859232328995261365,1,P6
4956558447047352817,1,P10
1608184295583107523,1,P10
5528866310820855055,1,P10
14429979666463100340,1,P6
10352978712121342321,1,P10
13943906295589242295,1,P6
9278641736227372809,1,P6
6958333651027728701,1,P10
5998449489941345463,1,P6
18176593556525428677,1,P6
10347034085372125544,1,P6
16863148297235828350,1,P6
16322970801162501865,1,P6
7089308441650217152,1,P6
1236788592375849735,1,P6
2830094148415898794,1,P6
2893916435099046780,1,P8
10885368180800417878,1,P6
14900915474057369031,1,P6
9918152515897200712,1,P6
12778981434736820097,1,P6
10963148808363596779,1,P7
7436911738985213009,1,P6
13423432696116278032,1,P6
11667043485933908843,1,P6
1848478763635350745,1,P6
6404995715679382218,1,P6
9849550152019063831,1,P7
17860521946022803641,1,P6
2921469360508502305,1,P6
1610725049781114256,1,P6
3018662358860790396,1,P10
11841272446802945494,1,P6
12807511722788108266,1,P6
4037045599250203496,1,P10
18129150882059719753,1,P6
13653319857828557839,1,P6
1261450867853662403,1,P6
7049445910253399491,1,P6
7676052851714495398,1,P6
1366366133641721001,1,P10
1839298302503223273,1,P6
2967395056589851732,1,P6
