uid,gmm_component,gmm_label,max_responsibility
5278976567019446660,0,P6,0.9470001653213203
15640497429462322752,0,P6,0.9103820669060353
17734586599114421685,0,P6,0.9356099139744416
18423197134392815674,0,P6,0.9369978305440173
2731228532180481066,0,P6,0.9383332047192762
1552436034861623237,0,P6,0.9123379196425774
2274810500125334562,0,P6,0.9201536622402842
8558737139462699089,0,P6,0.9309810008734536
9824566084269540104,0,P6,0.9494515626574016
13972816327565472759,0,P6,0.9211518114628774
9750968095650886506,0,P6,0.9014931719932445
12808516895618354046,0,P6,0.9396513928918114
18283968911769746639,0,P6,0.9357610286862602
14023958022338878263,0,P6,0.9238114754014933
14993981579162115205,0,P6,0.9394976234360867
723231687748214575,0,P6,0.9102348691269474
1245223528510049936,0,P6,0.9187362852073655
16585125928997631005,0,P6,0.9441913592792485
8834474740995253836,0,P6,0.9103431690148861
14916425858218323705,0,P6,0.9264041857272481
1683520396432670241,0,P6,0.9405683212035321
5719765159567950954,0,P6,0.9316088740714604
11942755354752077202,0,P6,0.9150039068634688
4467186832326142108,0,P6,0.9056310770108219
16985986487711804354,1,P7,0.9542355205286702
10916816843634908785,0,P6,0.9021189242630676
7508782539753039789,0,P6,0.9396931293500798
12213623622730906417,2,P8,0.9995655201609825
16888423938513908537,0,P6,0.9338317278298881
10572647305830861172,0,P6,0.9375481332041108
13573936068366573183,0,P6,0.9376136046293607
14414973007503470346,0,P6,0.9384917907580622
13786522813289850124,0,P6,0.9026471965835032
7370267257154743363,0,P6,0.934646908455708
18269549852597551135,0,P6,0.9322468227841514
8576305526023008476,0,P6,0.931729914655482
6956427062632827631,0,P6,0.9302354155216362
17412370726697538515,0,P6,0.9249302456772487
12455771236050330547,0,P6,0.9409308440816655
2665038705823800881,1,P7,0.9377585939832114
10236093016327809177,0,P6,0.9387432912805355
6085396315237229474,1,P7,0.9263947836754198
105758844071117555,0,P6,0.9386824904763597
1880067923503393887,0,P6,0.9151672705592592
13466440169870432876,0,P6,0.9148403605732933
4680635281467719765,0,P6,0.9367969849531065
9531832005461744544,2,P8,0.9935210383663622
10047452332384673809,0,P6,0.9498944532656548
501736172832194258,0,P6,0.9169433939451446
14503124646474879232,0,P6,0.9085573797316064
14162477516616384708,0,P6,0.9485124440964026
6675871549388816064,0,P6,0.9112904359374205
12482495553191273892,0,P6,0.9074896238370884
9385406680505568273,2,P8,0.9169276099478283
4972667274218300957,0,P6,0.914057099952021
2837991567844881021,0,P6,0.9403109044323615
5565907971635134514,0,P6,0.9307440044888527
8721042164839026353,0,P6,0.9481858939353212
7693851255307401051,0,P6,0.9073729908358826
17166840811392725619,0,P6,0.9284992429877623
